num;nom;slug;sexe;adresse;date_refus;doc_refus;demandes/demande;bordereau;cada_no;avis_cada;date_cada;lar_envoi;lar_reception
482;Arnaud Robinet;arnaud-robinet;H;Permanence, 9 Place Royale, 51100 Reims;;;demandes/demande-irfm-arnaud-robinet.pdf;;20173769;avis-cada/avis-cada-20173769.pdf;28 novembre 2017;;
483;Camille de Rocca Serra;camille-de-rocca-serra;H;Permanence parlementaire, 2 Rue Joseph Pietri, 20137 Porto-Vecchio;;;demandes/demande-irfm-camille-de-rocca-serra.pdf;;20173770;avis-cada/avis-cada-20173770.pdf;28 novembre 2017;;
484;François Rochebloine;francois-rochebloine;H;Permanence, 4 Place Dorian, BP 203, 42408 Saint-Chamond cedex;;;demandes/demande-irfm-francois-rochebloine.pdf;;20173771;avis-cada/avis-cada-20173771.pdf;28 novembre 2017;;
485;Alain Rodet;alain-rodet;H;Fédération socialiste de Haute-Vienne, 9 Boulevard de la Cité, 87000 Limoges;;;demandes/demande-irfm-alain-rodet.pdf;preuves-envoi/preuve-envoi-alain-rodet.pdf;20173772;avis-cada/avis-cada-20173772.pdf;28 novembre 2017;26 mai 2017;06 juin 2017
486;Marcel Rogemont;marcel-rogemont;H;Permanence en circonscription, 13 Boulevard Maréchal de Lattre de Tassigny, 35000 Rennes;;;demandes/demande-irfm-marcel-rogemont.pdf;preuves-envoi/preuve-envoi-marcel-rogemont.pdf;20173820;avis-cada/avis-cada-20173820.pdf;28 novembre 2017;31 mai 2017;06 juin 2017
487;Sophie Rohfritsch;sophie-rohfritsch;F;Permanence parlementaire, 7 Rue du Château, 67380 Lingolsheim;;;demandes/demande-irfm-sophie-rohfritsch.pdf;preuves-envoi/preuve-envoi-sophie-rohfritsch.pdf;20173821;avis-cada/avis-cada-20173821.pdf;28 novembre 2017;26 mai 2017;06 juin 2017
488;Frédéric Roig;frederic-roig;H;Permanence parlementaire, 2 Place de la République, Le Rialto, Appt 8, 34700 Lodève;;;demandes/demande-irfm-frederic-roig.pdf;;20173822;avis-cada/avis-cada-20173822.pdf;28 novembre 2017;;
489;Gwendal Rouillard;gwendal-rouillard;H;10 Rue Assemblée nationale, 56100 Lorient;;;demandes/demande-irfm-gwendal-rouillard.pdf;;20173823;avis-cada/avis-cada-20173823.pdf;28 novembre 2017;;
490;Jean-Louis Roumegas;jean-louis-roumegas;H;Permanence parlementaire, 15 Rue du Général Campredon, 34000 Montpellier;;;demandes/demande-irfm-jean-louis-roumegas.pdf;;20173824;avis-cada/avis-cada-20173824.pdf;28 novembre 2017;;
491;René Rouquet;rene-rouquet;H;Mairie, Place François Mitterrand, 94140 Alfortville;;;demandes/demande-irfm-rene-rouquet.pdf;preuves-envoi/preuve-envoi-rene-rouquet.png;20173825;avis-cada/avis-cada-20173825.pdf;28 novembre 2017;02 juin 2017;23 juin 2017
492;Alain Rousset;alain-rousset;H;Permanence parlementaire, 2 Allée Grangeneuve, 33600 Pessac;;;demandes/demande-irfm-alain-rousset.pdf;;20173826;avis-cada/avis-cada-20173826.pdf;28 novembre 2017;;
493;François de Rugy;francois-de-rugy;H;90 Rue Paul Bellamy, 44000 Nantes;;;demandes/demande-irfm-francois-de-rugy.pdf;NONE;20173827;avis-cada/avis-cada-20173827.pdf;28 novembre 2017;06 juin 2017;15 juin 2017
494;Martial Saddier;martial-saddier;H;Permanence parlementaire, 111 Rue du Pont, Immeuble "La Résidence", 74130 Bonneville;;;demandes/demande-irfm-martial-saddier.pdf;;20173828;avis-cada/avis-cada-20173828.pdf;28 novembre 2017;;
495;Maina Sage;maina-sage;F;Permanence parlementaire, 101 Rue de l'Université, 75007 Paris;;;demandes/demande-irfm-maina-sage.pdf;;20173780;avis-cada/avis-cada-20173780.pdf;28 novembre 2017;;
496;Boinali Said;boinali-said;H;Acoua, 97600 Mayotte;;;demandes/demande-irfm-boinali-said.pdf;;20173779;avis-cada/avis-cada-20173779.pdf;28 novembre 2017;;
497;Stéphane Saint-André;stephane-saint-andre;H;Permanence parlementaire, 336 Avenue de Lens, 62400 Béthune;;;demandes/demande-irfm-stephane-saint-andre.pdf;;20173781;avis-cada/avis-cada-20173781.pdf;28 novembre 2017;;
498;Paul Salen;paul-salen;H;Résidence les Cèdres, 138 Place de la République, BP 68, 42210 MONTROND LES BAINS;;;demandes/demande-irfm-paul-salen.pdf;;20173782;avis-cada/avis-cada-20173782.pdf;28 novembre 2017;;
499;Rudy Salles;rudy-salles;H;31 Avenue Jean Médecin, 06000 Nice;;;demandes/demande-irfm-rudy-salles.pdf;NONE;20173783;avis-cada/avis-cada-20173783.pdf;28 novembre 2017;27 mai 2017;06 juin 2017
500;Nicolas Sansu;nicolas-sansu;H;Hôtel de Ville, 18100 Vierzon;;;demandes/demande-irfm-nicolas-sansu.pdf;;20173784;avis-cada/avis-cada-20173784.pdf;28 novembre 2017;;
501;Béatrice Santais;beatrice-santais;F;Immeuble "Le Catinat", n° 55, Place Albert Serraz, 73800 Montmelian;;;demandes/demande-irfm-beatrice-santais.pdf;;20173785;avis-cada/avis-cada-20173785.pdf;28 novembre 2017;;
502;André Santini;andre-santini;H;Mairie, 62 Rue du Général Leclerc, 92130 Issy-les-Moulineaux;;;demandes/demande-irfm-andre-santini.pdf;;20173786;avis-cada/avis-cada-20173786.pdf;28 novembre 2017;;
503;Eva Sas;eva-sas;F;Permanence, 56 Grande Rue, 91260 Juvisy-sur-Orge;;;demandes/demande-irfm-eva-sas.pdf;;20173787;avis-cada/avis-cada-20173787.pdf;28 novembre 2017;;
504;Odile Saugues;odile-saugues;F;18 Rue Neyron, 63000 Clermont-Ferrand;;;demandes/demande-irfm-odile-saugues.pdf;preuves-envoi/preuve-envoi-odile-saugues.jpg;20173829;avis-cada/avis-cada-20173829.pdf;28 novembre 2017;30 mai 2017;06 juin 2017
505;Gilbert Sauvan;gilbert-sauvan;H;Assemblée nationale, 126 Rue de l'Université, 75355 PARIS 07 SP;;;demandes/demande-irfm-gilbert-sauvan.pdf;;20173833;avis-cada/avis-cada-20173833.pdf;28 novembre 2017;;
506;Gilles Savary;gilles-savary;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP;;;demandes/demande-irfm-gilles-savary.pdf;;20173834;avis-cada/avis-cada-20173834.pdf;28 novembre 2017;;
507;François Scellier;francois-scellier;H;6 Rue du Général Leclerc, BP 40049 Cedex, 95210 Saint-Gratien;;;demandes/demande-irfm-francois-scellier.pdf;NONE;20173835;avis-cada/avis-cada-20173835.pdf;28 novembre 2017;04 juin 2017;
508;Claudine Schmid;claudine-schmid;F;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP;;;demandes/demande-irfm-claudine-schmid.pdf;;20173836;avis-cada/avis-cada-20173836.pdf;28 novembre 2017;;
509;André Schneider;andre-schneider;H;Permanence, 53 Route de Bischwiller, BP 12, 67301 Schiltigheim cedex;;;demandes/demande-irfm-andre-schneider.pdf;preuves-envoi/preuve-envoi-andre-schneider.pdf;20173837;avis-cada/avis-cada-20173837.pdf;28 novembre 2017;26 mai 2017;06 juin 2017
510;Roger-Gérard Schwartzenberg;roger-gerard-schwartzenberg;H;Assemblée nationale, 126 Rue de l'université, 75355 Paris 07 SP;;;demandes/demande-irfm-roger-gerard-schwartzenberg.pdf;;20173838;avis-cada/avis-cada-20173838.pdf;28 novembre 2017;;
511;Gérard Sebaoun;gerard-sebaoun;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP;;;demandes/demande-irfm-gerard-sebaoun.pdf;preuves-envoi/preuve-envoi-gerard-sebaoun.png;20173839;avis-cada/avis-cada-20173839.pdf;28 novembre 2017;24 mai 2017;06 juin 2017
512;Jean-Marie Sermier;jean-marie-sermier;H;Permanence parlementaire, 15 Rue des Arènes, 39100 Dole;;;demandes/demande-irfm-jean-marie-sermier.pdf;NONE;20173840;avis-cada/avis-cada-20173840.pdf;28 novembre 2017;25 juillet 2017;
513;Gabriel Serville;gabriel-serville;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP;;;demandes/demande-irfm-gabriel-serville.pdf;;20173790;avis-cada/avis-cada-20173790.pdf;28 novembre 2017;;
514;Fernand Siré;fernand-sire;H;Permanence, Rue des Templiers, 66250 Saint-Laurent-de-la Salanque;;;demandes/demande-irfm-fernand-sire.pdf;;20173791;avis-cada/avis-cada-20173791.pdf;28 novembre 2017;;
515;Thierry Solère;thierry-solere;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP;;;demandes/demande-irfm-thierry-solere.pdf;preuves-envoi/preuve-envoi-thierry-solere.png;;;;18 juin 2017;28 juin 2017
516;Julie Sommaruga;julie-sommaruga;F;Assemblée nationale, 126 Rue de l'université, 75355 Paris 07 SP;;;demandes/demande-irfm-julie-sommaruga.pdf;NONE;20173525;avis-cada/avis-cada-20173525.pdf;04 décembre 2017;11 juin 2017;
517;Michel Sordi;michel-sordi;H;Permanence parlementaire, 3 Faubourg de Belfort, 68700 Cernay;;;demandes/demande-irfm-michel-sordi.pdf;;20174080;avis-cada/avis-cada-20174080.pdf;27 novembre 2017;;
518;Éric Straumann;eric-straumann;H;Permanence parlementaire, 82 Rue de la cavalerie, 68000 Colmar;;;demandes/demande-irfm-eric-straumann.pdf;NONE;20174081;avis-cada/avis-cada-20174081.pdf;27 novembre 2017;29 mai 2017;06 juin 2017
519;Claude Sturni;claude-sturni;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP;;;demandes/demande-irfm-claude-sturni.pdf;preuves-envoi/preuve-envoi-claude-sturni.pdf;20174082;avis-cada/avis-cada-20174082.pdf;27 novembre 2017;26 mai 2017;15 juin 2017
520;Alain Suguenot;alain-suguenot;H;Mairie, 21200 Beaune;;;demandes/demande-irfm-alain-suguenot.pdf;NONE;20174083;avis-cada/avis-cada-20174083.pdf;27 novembre 2017;14 juin 2017;28 juin 2017
521;Michèle Tabarot;michele-tabarot;F;Mairie, 20 Boulevard Sadi Carnot, 06110 Le Cannet;;;demandes/demande-irfm-michele-tabarot.pdf;preuves-envoi/preuve-envoi-michele-tabarot.pdf;20174084;avis-cada/avis-cada-20174084.pdf;27 novembre 2017;24 mai 2017;06 juin 2017
