num;nom;slug;sexe;adresse;refus;demande;bordereau;cada_no;avis_cada;date_cada;lar_envoi;lar_reception
117;Luc Chatel;luc-chatel;H;6 Rue Bouchardon, BP 192, 52006 Chaumont cedex; ;demande-irfm-luc-chatel.pdf;NONE;20173559;avis-cada-20173559.pdf;03 janvier 2018;26 mai 2017;06 juin 2017
118;Guy-Michel Chauveau;guy-michel-chauveau;H;16 Boulevard d'Alger, BP 70128, 72205 La Flèche cedex; ;demande-irfm-guy-michel-chauveau.pdf;;20173560;avis-cada-20173560.pdf;03 janvier 2018;;
119;Dominique Chauvel;dominique-chauvel;F;Hôtel du département, Quai Jean Moulin, 76100 Rouen Cedex; ;demande-irfm-dominique-chauvel.pdf;;20173561;avis-cada-20173561.pdf;03 janvier 2018;;
120;Pascal Cherki;pascal-cherki;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris; ;demande-irfm-pascal-cherki.pdf;NONE;20173562;avis-cada-20173562.pdf;03 janvier 2018;25 mai 2017;06 juin 2017
121;Gérard Cherpion;gerard-cherpion;H;Permanence, 47 Rue de la Bolle, 88100 Saint-Dié-des-Vosges; ;demande-irfm-gerard-cherpion.pdf;;20173563;avis-cada-20173563.pdf;03 janvier 2018;;
122;Guillaume Chevrollier;guillaume-chevrollier;H;Permanence parlementaire, 35 Rue Alexandre Fournier, 53200 Château Gontier - Bazouges; ;demande-irfm-guillaume-chevrollier.pdf;;20173564;avis-cada-20173564.pdf;03 janvier 2018;;
123;Alain Chrétien;alain-chretien;H;20 Place Pierre Renet, 70000 Vesoul; ;demande-irfm-alain-chretien.pdf;;20174689;avis-cada-20174689.pdf;03 janvier 2018;;
124;Jean-Louis Christ;jean-louis-christ;H;Permanence parlementaire, 10 Grand'Rue, 68230 Turckheim; ;demande-irfm-jean-louis-christ.pdf;;20173565;avis-cada-20173565.pdf;03 janvier 2018;;
125;Dino Cinieri;dino-cinieri;H;3 Avenue Grégoire Chapoton, 42170 Saint Just Saint Rambert; ;demande-irfm-dino-cinieri.pdf;NONE;20174690;avis-cada-20174690.pdf;03 janvier 2018;22 juin 2017;24 juin 2017
126;Jean-David Ciot;jean-david-ciot;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07; ;demande-irfm-jean-david-ciot.pdf;preuve-envoi-jean-david-ciot.jpg;20173566;avis-cada-20173566.pdf;03 janvier 2018;29 mai 2017;15 juin 2017
127;Éric Ciotti;eric-ciotti;H;Permanence parlementaire, 15 Quai des Deux Emmanuel, 06300 Nice; ;demande-irfm-eric-ciotti.pdf;preuve-envoi-eric-ciotti.jpg;20174117;avis-cada-20174117.pdf;03 janvier 2018;26 mai 2017;06 juin 2017
128;Alain Claeys;alain-claeys;H;Hôtel de ville, 86021 Poitiers Cedex; ;demande-irfm-alain-claeys.pdf;;20173567;avis-cada-20173567.pdf;03 janvier 2018;;
129;Stéphane Claireaux;stephane-claireaux;H;Permanence parlementaire, 7 Rue René Autin, 97500 Saint-Pierre-et-Miquelon; ;demande-irfm-stephane-claireaux.pdf;;20173568;avis-cada-20173568.pdf;03 janvier 2018;;
130;Jean-Michel Clément;jean-michel-clement;H;Permanence, Place du Champ de Foire, BP 25, 86160 Gençay; ;demande-irfm-jean-michel-clement.pdf;NONE;20174691;avis-cada-20174691.pdf;03 janvier 2018;22 juin 2017;
131;Marie-Françoise Clergeau;marie-francoise-clergeau;F;11 Quai Turenne, 44000 Nantes; ;demande-irfm-marie-francoise-clergeau.pdf;;20173569;avis-cada-20173569.pdf;03 janvier 2018;;
132;Philippe Cochet;philippe-cochet;H;Permanence, 13 Rue Jean Moulin, BP 101, 69300 Caluire-et-Cuire; ;demande-irfm-philippe-cochet.pdf;preuve-envoi-philippe-cochet.jpg;20173570;avis-cada-20173570.pdf;03 janvier 2018;24 mai 2017;06 juin 2017
133;Romain Colas;romain-colas;H;Permanence parlementaire, 59 Rue Pierre Brossolette, 91130 Ris-Orangis; ;demande-irfm-romain-colas.pdf;;20173571;avis-cada-20173571.pdf;03 janvier 2018;;
134;Gilbert Collard;gilbert-collard;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP; ;demande-irfm-gilbert-collard.pdf;NONE;20173572;avis-cada-20173572.pdf;03 janvier 2018;30 mai 2017;27 juin 2017
135;David Comet;david-comet;H;Permanence parlementaire, 7 Place de l'Hôtel de ville, 16160 Gond-Pontouvre; ;demande-irfm-david-comet.pdf;preuve-envoi-david-comet.pdf;20173573;avis-cada-20173573.pdf;03 janvier 2018;26 mai 2017;06 juin 2017
136;Jean-François Copé;jean-francois-cope;H;Hôtel de Ville, 2 Place de l'Hôtel de Ville, 77100 Meaux; ;demande-irfm-jean-francois-cope.pdf;preuve-envoi-jean-francois-cope.jpg;20173574;avis-cada-20173574.pdf;03 janvier 2018;23 mai 2017;06 juin 2017
137;Philip Cordery;philip-cordery;H;Clos du Parnasse 3G, 1050 Bruxelles; ;demande-irfm-philip-cordery.pdf;;20173587;avis-cada-20173587.pdf;03 janvier 2018;;
138;François Cornut-Gentille;francois-cornut-gentille;H;Permanence, 15 Rue du Docteur Desprès, 52100 Saint-Dizier; ;demande-irfm-francois-cornut-gentille.pdf;NONE;20173588;avis-cada-20173588.pdf;03 janvier 2018;22 juin 2017;24 juin 2017
139;Sergio Coronado;sergio-coronado;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP; ;demande-irfm-sergio-coronado.pdf;NONE;20174692;avis-cada-20174692.pdf;03 janvier 2018;26 mai 2017;06 juin 2017
140;Valérie Corre;valerie-corre;F;Permanence parlementaire, 17 Ter Rue Croix de Malte, 45000 Orléans; ;demande-irfm-valerie-corre.pdf;;20173575;avis-cada-20173575.pdf;03 janvier 2018;;
141;Jean-Louis Costes;jean-louis-costes;H;Permanence parlementaire, 73 Avenue du Maréchal Leclerc, 47300 Villeneuve-sur-Lot; ;demande-irfm-jean-louis-costes.pdf;;20173576;avis-cada-20173576.pdf;03 janvier 2018;;
142;Jean-Jacques Cottel;jean-jacques-cottel;H;Permanence parlementaire, 22 Route Nationale, 62450 Beaulencourt; ;demande-irfm-jean-jacques-cottel.pdf;;20174693;avis-cada-20174693.pdf;03 janvier 2018;;
143;Charles de Courson;charles-de-courson;H;38 Rue de la Petite-Sainte, 51300 Vitry-le-François;REFUS;demande-irfm-charles-de-courson.pdf;NONE;20173400;avis-cada-20173400.pdf;24 novembre 2017;22 juin 2017;
144;Édouard Courtial;edouard-courtial;H;45 Rue du Pont de Pierre, 60600 Clermont; ;demande-irfm-edouard-courtial.pdf;NONE;20174694;avis-cada-20174694.pdf;03 janvier 2018;15 juin 2017;21 juin 2017
145;Catherine Coutelle;catherine-coutelle;F;11 Place de France, 86000 Poitiers; ;demande-irfm-catherine-coutelle.pdf;;20173577;avis-cada-20173577.pdf;03 janvier 2018;;
146;Jean-Michel Couve;jean-michel-couve;H;Permanence parlementaire, Résidence du Port, Appartement 51, 83990 Saint-Tropez; ;demande-irfm-jean-michel-couve.pdf;NONE;20173578;avis-cada-20173578.pdf;03 janvier 2018;29 juillet 2017;
147;Jacques Cresta;jacques-cresta;H;Permanence parlementaire, BP 10438, 66334 Cabestany Cedex; ;demande-irfm-jacques-cresta.pdf;;20173579;avis-cada-20173579.pdf;03 janvier 2018;;
148;Pascale Crozon;pascale-crozon;F;Permanence parlementaire, 25 Rue Paul Verlaine, 69100 Villeurbanne; ;demande-irfm-pascale-crozon.pdf;preuve-envoi-pascale-crozon.png;20174116;avis-cada-20174116.pdf;03 janvier 2018;26 mai 2017;06 juin 2017
149;Frédéric Cuvillier;frederic-cuvillier;H;Permanence parlementaire, 69 Rue Carnot, 62480 Le Portel; ;demande-irfm-frederic-cuvillier.pdf;;20173580;avis-cada-20173580.pdf;03 janvier 2018;;
150;Seybah Dagoma;seybah-dagoma;F;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP; ;demande-irfm-seybah-dagoma.pdf;preuve-envoi-seybah-dagoma.jpg;20174696;avis-cada-20174696.pdf;19 décembre 2017;23 mai 2017;06 juin 2017
151;Marie-Christine Dalloz;marie-christine-dalloz;F;63 Rue du Collège, 39200 Saint-Claude; ;demande-irfm-marie-christine-dalloz.pdf;NONE;20173581;avis-cada-20173581.pdf;03 janvier 2018;22 juin 2017;24 juin 2017
152;Karine Daniel;karine-daniel;F;Permanence parlementaire, 47 Place de Preux, BP 50351, 44816 Saint-Herblain Cedex;REFUS;demande-irfm-karine-daniel.pdf;;20173396;avis-cada-20173396.pdf;24 novembre 2017;;
153;Yves Daniel;yves-daniel;H;Permanence parlementaire, 4 Allée des Lilas, BP 17, 44170 Nozay; ;demande-irfm-yves-daniel.pdf;;20173582;avis-cada-20173582.pdf;03 janvier 2018;;24 juin 2017
154;Carlos Da Silva;carlos-da-silva;H;35 Bis Rue Féray, 91100 Corbeil-Essonnes; ;demande-irfm-carlos-da-silva.pdf;;20174695;avis-cada-20174695.pdf;19 décembre 2017;;
155;Olivier Dassault;olivier-dassault;H;Permanence, 11 Bis Boulevard Amyot-d'Inville, 60000 Beauvais; ;demande-irfm-olivier-dassault.pdf;;20173583;avis-cada-20173583.pdf;03 janvier 2018;;
156;Marc-Philippe Daubresse;marc-philippe-daubresse;H;11 Bis Place des frères Thomas, 59130 Lambersart; ;demande-irfm-marc-philippe-daubresse.pdf;;20173584;avis-cada-20173584.pdf;03 janvier 2018;;
157;Bernard Debré;bernard-debre;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP; ;demande-irfm-bernard-debre.pdf;NONE;20174697;avis-cada-20174697.pdf;19 décembre 2017;31 mai 2017;06 juin 2017
158;Jean-Pierre Decool;jean-pierre-decool;H;Permanence, 11 Place du Marché-aux-Fruits, 59630 Bourbourg; ;demande-irfm-jean-pierre-decool.pdf;;20173585;avis-cada-20173585.pdf;03 janvier 2018;;
159;Bernard Deflesselles;bernard-deflesselles;H;4 Rue Chaulan, 13400 Aubagne; ;demande-irfm-bernard-deflesselles.pdf;;20174698;avis-cada-20174698.pdf;19 décembre 2017;;
160;Laurent Degallaix;laurent-degallaix;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP; ;demande-irfm-laurent-degallaix.pdf;;20173586;avis-cada-20173586.pdf;03 janvier 2018;;
161;Lucien Degauchy;lucien-degauchy;H;Rue d'Angoulême, 60350 Courtieux; ;demande-irfm-lucien-degauchy.pdf;;20173753;avis-cada-20173753.pdf;03 janvier 2018;;
162;Pascal Deguilhem;pascal-deguilhem;H;Permanence parlementaire, 7 Bis Place de la Cité, 24000 Périgueux; ;demande-irfm-pascal-deguilhem.pdf;;20173754;avis-cada-20173754.pdf;03 janvier 2018;;
163;Rémi Delatte;remi-delatte;H;Permanence, 14 Avenue Maréchal Lyautey, 21000 Dijon; ;demande-irfm-remi-delatte.pdf;;20174699;avis-cada-20174699.pdf;19 décembre 2017;;
164;Florence Delaunay;florence-delaunay;F;Permanence parlementaire, 11 Rue Sadi-Carnot, 40000 Mont-de-Marsan; ;demande-irfm-florence-delaunay.pdf;;20173755;avis-cada-20173755.pdf;03 janvier 2018;;
165;Michèle Delaunay;michele-delaunay;F;Permanence parlementaire, 20 Rue Saint Laurent, 33000 Bordeaux; ;demande-irfm-michele-delaunay.pdf;;20173756;avis-cada-20173756.pdf;03 janvier 2018;;
166;Guy Delcourt;guy-delcourt;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP; ;demande-irfm-guy-delcourt.pdf;;20173757;avis-cada-20173757.pdf;03 janvier 2018;;
167;Carole Delga;carole-delga;F;Place Jean-Jaurès, 31800 Saint-Gaudens; ;demande-irfm-carole-delga.pdf;;20173758;avis-cada-20173758.pdf;03 janvier 2018;;
168;Jacques Dellerie;jacques-dellerie;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP; ;demande-irfm-jacques-dellerie.pdf;;20173759;avis-cada-20173759.pdf;03 janvier 2018;;
169;Pascal Demarthe;pascal-demarthe;H;Permanence parlementaire, 43 Rue Octave Tierce, 80000 Amiens; ;demande-irfm-pascal-demarthe.pdf;;20173760;avis-cada-20173760.pdf;03 janvier 2018;;
170;Stéphane Demilly;stephane-demilly;H;Permanence parlementaire, Rue de la Caisse d'épargne, BP 10071, 80201 Péronne Cedex; ;demande-irfm-stephane-demilly.pdf;NONE;20173761;avis-cada-20173761.pdf;03 janvier 2018;10 juin 2017;15 juin 2017
171;Sébastien Denaja;sebastien-denaja;H;Permanence parlementaire, 40 Avenue Victor Hugo, 34200 Sète; ;demande-irfm-sebastien-denaja.pdf;;20173762;avis-cada-20173762.pdf;03 janvier 2018;;
172;Françoise Descamps-Crosnier;francoise-descamps-crosnier;F;Permanence parlementaire, 2 Avenue Division du Général Leclerc, 78200 Mantes-la-Jolie; ;demande-irfm-francoise-descamps-crosnier.pdf;NONE;20173777;avis-cada-20173777.pdf;03 janvier 2018;11 juin 2017;28 juin 2017
173;Jean-Louis Destans;jean-louis-destans;H;Permanence parlementaire, 6 Boulevard Georges Chauvin, Résidence du Palais, 27000 Evreux; ;demande-irfm-jean-louis-destans.pdf;;20173778;avis-cada-20173778.pdf;03 janvier 2018;;
174;Michel Destot;michel-destot;H;Cabinet parlementaire, 24 Avenue Alsace-Lorraine, 38000 Grenoble; ;demande-irfm-michel-destot.pdf;NONE;20173975;avis-cada-20173975.pdf;03 janvier 2018;31 mai 2017;09 juin 2017
175;Patrick Devedjian;patrick-devedjian;H;Conseil général, 2-16 Boulevard Soufflot, 92015 Nanterre cedex; ;demande-irfm-patrick-devedjian.pdf;;20173976;avis-cada-20173976.pdf;03 janvier 2018;;
176;Nicolas Dhuicq;nicolas-dhuicq;H;7 Rue Joseph Gaucher, 10500 Brienne-le-Château; ;demande-irfm-nicolas-dhuicq.pdf;NONE;20173977;avis-cada-20173977.pdf;03 janvier 2018;02 juin 2017;09 juin 2017
177;Sophie Dion;sophie-dion;F;Permanence parlementaire, 108 Place Charles de Gaulle, 74300 Cluses; ;demande-irfm-sophie-dion.pdf;preuve-envoi-sophie-dion.pdf;20173978;avis-cada-20173978.pdf;03 janvier 2018;05 juin 2017;12 juin 2017
178;Julien Dive;julien-dive;H;Permanence parlementaire, 19 Rue du Gouvernement, 02100 Saint-Quentin; ;demande-irfm-julien-dive.pdf;NONE;20173979;avis-cada-20173979.pdf;03 janvier 2018;11 juin 2017;28 juin 2017
179;Marc Dolez;marc-dolez;H;57 Rue de Bellain, 59500 Douai; ;demande-irfm-marc-dolez.pdf;;20173980;avis-cada-20173980.pdf;03 janvier 2018;;
180;Fanny Dombre Coste;fanny-dombre-coste;F;Permanence parlementaire, 37 Rue du Faubourg Boutonnet, 34090 Montpellier; ;demande-irfm-fanny-dombre-coste.pdf;preuve-envoi-fanny-dombre-coste.jpg;20173981;avis-cada-20173981.pdf;03 janvier 2018;13 juin 2017;28 juin 2017
181;Jean-Pierre Door;jean-pierre-door;H;23 Place de la République, 45200 Montargis; ;demande-irfm-jean-pierre-door.pdf;NONE;20173982;avis-cada-20173982.pdf;03 janvier 2018;09 juin 2017;12 juin 2017
182;Dominique Dord;dominique-dord;H;Mairie, BP 348, 73103 Aix-les-Bains; ;demande-irfm-dominique-dord.pdf;NONE;20173983;avis-cada-20173983.pdf;03 janvier 2018;14 juin 2017;28 juin 2017
183;René Dosière;rene-dosiere;H;BP 138, 02005 Laon cedex; ;demande-irfm-rene-dosiere.pdf;NONE;20173984;avis-cada-20173984.pdf;03 janvier 2018;08 juin 2017;15 juin 2017
184;Philippe Doucet;philippe-doucet;H;Permanence, 74 Rue Paul-Vaillant-Couturier, 95100 Argenteuil; ;demande-irfm-philippe-doucet.pdf;;20173994;avis-cada-20173994.pdf;03 janvier 2018;;
185;Sandrine Doucet;sandrine-doucet;F;Permanence parlementaire, 54 Cours du Médoc, 33000 Bordeaux; ;demande-irfm-sandrine-doucet.pdf;;20173995;avis-cada-20173995.pdf;03 janvier 2018;;
186;David Douillet;david-douillet;H;147 Avenue du Général de Gaulle, 78300 Poissy; ;demande-irfm-david-douillet.pdf;;20173996;avis-cada-20173996.pdf;03 janvier 2018;;
187;Jeanine Dubié;jeanine-dubie;F;2 Rue des Graves, Route de Lourdes, 65310 Odos; ;demande-irfm-jeanine-dubie.pdf;NONE;20173997;avis-cada-20173997.pdf;03 janvier 2018;23 juin 2017;
188;Françoise Dubois;francoise-dubois;F;Permanence en circonscription, 84 Bis Rue Montoise, 72000 Le Mans; ;demande-irfm-francoise-dubois.pdf;;20173998;avis-cada-20173998.pdf;03 janvier 2018;;
189;Marianne Dubois;marianne-dubois;F;Permanence parlementaire, 2 Faubourg d'Orléans, 45300 Pithiviers; ;demande-irfm-marianne-dubois.pdf;NONE;20173999;avis-cada-20173999.pdf;03 janvier 2018;08 juin 2017;11 juin 2017
190;Virginie Duby-Muller;virginie-duby-muller;F;7 Place de la Libération, 74100 Annemasse; ;demande-irfm-virginie-duby-muller.pdf;NONE;20174000;avis-cada-20174000.pdf;03 janvier 2018;23 juin 2017;27 juin 2017
191;Jean-Pierre Dufau;jean-pierre-dufau;H;Permanence, 1 Rue du Tuc d'Eauze, 40100 Dax; ;demande-irfm-jean-pierre-dufau.pdf;;20173520;avis-cada-20173520.pdf;08 décembre 2017;;
192;Cécile Duflot;cecile-duflot;F;Permanence parlementaire, 8 Rue Jouy Rouve, 75020 Paris; ;demande-irfm-cecile-duflot.pdf;NONE;20173664;avis-cada-20173664.pdf;08 décembre 2017;23 mai 2017;
193;Anne-Lise Dufour-Tonini;anne-lise-dufour-tonini;F;Hôtel de ville, Rue de Villars, 59220 Denain; ;demande-irfm-anne-lise-dufour-tonini.pdf;;20173665;avis-cada-20173665.pdf;08 décembre 2017;;
194;William Dumas;william-dumas;H;Adresse postale, BP 8,  Saint-Mamert-du-Gard; ;demande-irfm-william-dumas.pdf;;20173683;avis-cada-20173683.pdf;08 décembre 2017;;
195;Françoise Dumas;francoise-dumas;F;Permanence parlementaire, 7 Avenue Jean-Jaurès, 30900 NÎmes; ;demande-irfm-francoise-dumas.pdf;NONE;20173676;avis-cada-20173676.pdf;08 décembre 2017;31 mai 2017;
196;Laurence Dumont;laurence-dumont;F;Permanence parlementaire, 17 Rue Paul Toutain, 14000 Caen; ;demande-irfm-laurence-dumont.pdf;NONE;20173681;avis-cada-20173681.pdf;08 décembre 2017;23 juin 2017;27 juin 2017
197;Jean-Louis Dumont;jean-louis-dumont;H;Permanence, 1 Avenue Garibaldi, BP 70075, 55102 Verdun cedex; ;demande-irfm-jean-louis-dumont.pdf;;20173682;avis-cada-20173682.pdf;08 décembre 2017;;
198;Nicolas Dupont-Aignan;nicolas-dupont-aignan;H;Mairie, 60 Rue Charles de Gaulle, 91335 Yerres cedex; ;demande-irfm-nicolas-dupont-aignan.pdf;NONE;20173680;avis-cada-20173680.pdf;08 décembre 2017;29 mai 2017;06 juin 2017
199;Jean-Paul Dupré;jean-paul-dupre;H;90 Rue Saint-Martin, 11300 Limoux; ;demande-irfm-jean-paul-dupre.pdf;NONE;20173679;avis-cada-20173679.pdf;08 décembre 2017;14 juin 2017;28 juin 2017
200;Yves Durand;yves-durand;H;Permanence parlementaire, 351 Avenue de Dunkerque, BP 20415, 59464 Lomme cedex; ;demande-irfm-yves-durand.pdf;;20173678;avis-cada-20173678.pdf;08 décembre 2017;;
201;Philippe Duron;philippe-duron;H;Permanence parlementaire, 55 Rue des Jacobins, 14000 Caen; ;demande-irfm-philippe-duron.pdf;;20173677;avis-cada-20173677.pdf;08 décembre 2017;;
202;Olivier Dussopt;olivier-dussopt;H;1 Rue Sadi Carnot, 07100 Annonay; ;demande-irfm-olivier-dussopt.pdf;NONE;20173675;avis-cada-20173675.pdf;08 décembre 2017;16 juin 2017;30 juin 2017
203;Eric Elkouby;eric-elkouby;H;Permanence parlementaire, 40 Avenue des Vosges, 67000 Strasbourg; ;demande-irfm-eric-elkouby.pdf;preuve-envoi-eric-elkouby.pdf;20173674;avis-cada-20173674.pdf;08 décembre 2017;26 mai 2017;06 juin 2017
204;Sophie Errante;sophie-errante;F;Permanence parlementaire, 17 Rue des Sports, App. 7, 44330 Le Pallet; ;demande-irfm-sophie-errante.pdf;preuve-envoi-sophie-errante.pdf;20173673;avis-cada-20173673.pdf;08 décembre 2017;01 juin 2017;09 juin 2017
205;Marie-Hélène Fabre;marie-helene-fabre;F;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP; ;demande-irfm-marie-helene-fabre.pdf;;20173672;avis-cada-20173672.pdf;08 décembre 2017;;
206;Olivier Falorni;olivier-falorni;H;Permanence parlementaire, 12 Ter Rue Villeneuve, 17000 La Rochelle; ;demande-irfm-olivier-falorni.pdf;NONE;20173671;avis-cada-20173671.pdf;08 décembre 2017;18 juin 2017;
207;Daniel Fasquelle;daniel-fasquelle;H;441 Bis Rue de l'Impératrice, 62600 Berck sur Mer; ;demande-irfm-daniel-fasquelle.pdf;preuve-envoi-daniel-fasquelle.jpg;20173669;avis-cada-20173669.pdf;08 décembre 2017;07 juin 2017;11 juin 2017
208;Olivier Faure;olivier-faure;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP; ;demande-irfm-olivier-faure.pdf;NONE;20173668;avis-cada-20173668.pdf;08 décembre 2017;12 juin 2017;15 juin 2017
209;Martine Faure;martine-faure;F;Permanence parlementaire, 7 Allée des Tilleuls, 33490 Saint-Macaire; ;demande-irfm-martine-faure.pdf;;20173670;avis-cada-20173670.pdf;08 décembre 2017;;
210;Alain Fauré;alain-faure;H;Permanence parlementaire, 1 Quai du Gravier, BP40, 09201 Saint-Girons Cedex; ;demande-irfm-alain-faure.pdf;NONE;20173667;avis-cada-20173667.pdf;08 décembre 2017;13 juin 2017;
211;Yannick Favennec;yannick-favennec;H;4 Place du 9 juin, 53100 Mayenne; ;demande-irfm-yannick-favennec.pdf;NONE;20173666;avis-cada-20173666.pdf;08 décembre 2017;23 juin 2017;24 juin 2017
212;Georges Fenech;georges-fenech;H;Permanence, 9 Rue Victor Hugo, 69700 Givors; ;demande-irfm-georges-fenech.pdf;NONE;20173729;avis-cada-20173729.pdf;07 décembre 2017;23 mai 2017;29 mai 2017
213;Hervé Féron;herve-feron;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP; ;demande-irfm-herve-feron.pdf;;20173733;avis-cada-20173733.pdf;07 décembre 2017;;
214;Richard Ferrand;richard-ferrand;H;Permanence parlementaire, 2 Rue Baltzer, 29150 Châteaulin; ;demande-irfm-richard-ferrand.pdf;preuve-envoi-richard-ferrand.jpg;20173750;avis-cada-20173750.pdf;07 décembre 2017;26 mai 2017;06 juin 2017
215;Aurélie Filippetti;aurelie-filippetti;F;Permanence parlementaire, 4 Rue des Écoles, 57000 Metz; ;demande-irfm-aurelie-filippetti.pdf;NONE;20173749;avis-cada-20173749.pdf;07 décembre 2017;11 juillet 2017;
216;François Fillon;francois-fillon;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP; ;demande-irfm-francois-fillon.pdf;NONE;20173748;avis-cada-20173748.pdf;07 décembre 2017;31 mai 2017;06 juin 2017
217;Geneviève Fioraso;genevieve-fioraso;F;Permanence parlementaire, 7 Rue Voltaire, 38000 Grenoble;REFUS;demande-irfm-genevieve-fioraso.pdf;;20173393;avis-cada-20173393.pdf;24 novembre 2017;;
218;Philippe Folliot;philippe-folliot;H;Permanence, 3 Boulevard des Lices, 81100 Castres; ;demande-irfm-philippe-folliot.pdf;NONE;20173747;avis-cada-20173747.pdf;07 décembre 2017;23 juin 2017;30 juin 2017
219;Marie-Louise Fort;marie-louise-fort;F;Permanence parlementaire, 36 Bis Rue de l'Epée, 89100 Sens; ;demande-irfm-marie-louise-fort.pdf;;20173746;avis-cada-20173746.pdf;07 décembre 2017;;
220;Yves Foulon;yves-foulon;H;Hôtel de Ville, Place Lucien de Gracia, 33120 Arcachon; ;demande-irfm-yves-foulon.pdf;;20173745;avis-cada-20173745.pdf;07 décembre 2017;;
221;Hugues Fourage;hugues-fourage;H;Permanence parlementaire, 12 Rue des Orfèvres, 85200 Fontenay-le-Comte; ;demande-irfm-hugues-fourage.pdf;NONE;20173743;avis-cada-20173743.pdf;07 décembre 2017;07 juin 2017;15 juin 2017
222;Jean-Marc Fournel;jean-marc-fournel;H;Permanence parlementaire, 8 Rue Alfred Mézières, 54400 Longwy; ;demande-irfm-jean-marc-fournel.pdf;preuve-envoi-jean-marc-fournel.pdf;20173744;avis-cada-20173744.pdf;07 décembre 2017;30 juillet 2017;
223;Valérie Fourneyron;valerie-fourneyron;F;Permanence, 23 Rue de la République, 76100 Rouen; ;demande-irfm-valerie-fourneyron.pdf;;20173742;avis-cada-20173742.pdf;07 décembre 2017;;
224;Michèle Fournier-Armand;michele-fournier-armand;F;55 Avenue Pierre Sémard, 84000 Avignon; ;demande-irfm-michele-fournier-armand.pdf;;20173741;avis-cada-20173741.pdf;07 décembre 2017;;
225;Michel Françaix;michel-francaix;H;Hôtel de Ville, Place de la Mairie, BP 10110, 60230 Chambly Cedex; ;demande-irfm-michel-francaix.pdf;;20173740;avis-cada-20173740.pdf;07 décembre 2017;;06 juin 2017
226;Marc Francina;marc-francina;H;Représentation parlementaire, 5 Rue de l'Hôtel de Ville, 74200 Thonon-les-Bains; ;demande-irfm-marc-francina.pdf;preuve-envoi-marc-francina.jpg;20173739;avis-cada-20173739.pdf;07 décembre 2017;31 mai 2017;06 juin 2017
227;Christian Franqueville;christian-franqueville;H;Permanence parlementaire, 23 Rue des Anciennes Halles, 88140 Bulgnéville; ;demande-irfm-christian-franqueville.pdf;;20173738;avis-cada-20173738.pdf;07 décembre 2017;;
228;Jacqueline Fraysse;jacqueline-fraysse;F;Hôtel de Ville, Rue du 8 Mai 1945, 92000 Nanterre; ;demande-irfm-jacqueline-fraysse.pdf;;20173737;avis-cada-20173737.pdf;07 décembre 2017;;
229;Jean-Christophe Fromantin;jean-christophe-fromantin;H;Assemblée nationale, 126 Rue de l'université, 75355 Paris 07 SP; ;demande-irfm-jean-christophe-fromantin.pdf;NONE;20173736;avis-cada-20173736.pdf;07 décembre 2017;31 mai 2017;23 juin 2017
230;Yves Fromion;yves-fromion;H;Secrétariat parlementaire, 4 Rue du Château, 18700 Aubigny-sur-Nère; ;demande-irfm-yves-fromion.pdf;NONE;20173735;avis-cada-20173735.pdf;07 décembre 2017;12 juin 2017;14 juin 2017
231;Jean-Claude Fruteau;jean-claude-fruteau;H;Mairie, Rue Georges Pompidou, 97470 Saint-Benoit; ;demande-irfm-jean-claude-fruteau.pdf;preuve-envoi-jean-claude-fruteau.pdf;20173734;avis-cada-20173734.pdf;07 décembre 2017;16 juin 2017;28 juin 2017
232;Laurent Furst;laurent-furst;H;8B Allée Carl, 67120 Molsheim; ;demande-irfm-laurent-furst.pdf;preuve-envoi-laurent-furst.pdf;20173732;avis-cada-20173732.pdf;07 décembre 2017;26 mai 2017;06 juin 2017
233;Jean-Louis Gagnaire;jean-louis-gagnaire;H;2 Rue Faure-Belon, BP 60 208, 42005 Saint-Étienne cedex 1; ;demande-irfm-jean-louis-gagnaire.pdf;;20173775;avis-cada-20173775.pdf;07 décembre 2017;;
234;Geneviève Gaillard;genevieve-gaillard;F;Permanence parlementaire, 9 Avenue Saint-Jean d'Angely, 79000 Niort; ;demande-irfm-genevieve-gaillard.pdf;;20173731;avis-cada-20173731.pdf;07 décembre 2017;;
235;Yann Galut;yann-galut;H;31 Rue Porte Mutin, 18200 Saint-Amand-Montrond; ;demande-irfm-yann-galut.pdf;NONE;20173730;avis-cada-20173730.pdf;07 décembre 2017;22 juillet 2017;
