num;nom;slug;sexe;adresse;refus;demande;bordereau;cada_no;avis_cada;date_cada;lar_envoi;lar_reception
027;Guillaume Bachelay;guillaume-bachelay;H;Assemblée nationale, 126 Rue de l'Univeristé, 75355 Paris 07 SP; ;demande-irfm-guillaume-bachelay.pdf;;20173622;avis-cada-20173622.pdf;24 novembre 2017;;
028;Jean-Paul Bacquet;jean-paul-bacquet;H;Mairie, 63114 Coudes; ;demande-irfm-jean-paul-bacquet.pdf;;20173623;avis-cada-20173623.pdf;24 novembre 2017;;
029;Dominique Baert;dominique-baert;H;Hôtel de Ville, Place J. Delvainquière, 59150 Wattrelos; ;demande-irfm-dominique-baert.pdf;;20173624;avis-cada-20173624.pdf;24 novembre 2017;;
030;Guy Bailliart;guy-bailliart;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP; ;demande-irfm-guy-bailliart.pdf;NONE;20173625;avis-cada-20173625.pdf;24 novembre 2017;11 juin 2017;14 juin 2017
031;Patrick Balkany;patrick-balkany;H;Permanence, 18 Rue Charles et René Auffray, 92110 Clichy-la-Garenne; ;demande-irfm-patrick-balkany.pdf;preuve-envoi-patrick-balkany.jpg;20173626;avis-cada-20173626.pdf;24 novembre 2017;23 mai 2017;
032;Alain Ballay;alain-ballay;H;Permanence parlementaire, 36-38 Avenue Victor Hugo, 19000 Tulle; ;demande-irfm-alain-ballay.pdf;preuve-envoi-alain-ballay.jpg;20173627;avis-cada-20173627.pdf;24 novembre 2017;03 juin 2017;09 juin 2017
033;Gérard Bapt;gerard-bapt;H;5 Rue Pierrette Louin, Résidence L'Aiglon, 31200 Toulouse; ;demande-irfm-gerard-bapt.pdf;NONE;20173628;avis-cada-20173628.pdf;24 novembre 2017;30 mai 2017;06 juin 2017
034;Frédéric Barbier;frederic-barbier;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP; ;demande-irfm-frederic-barbier.pdf;NONE;20173629;avis-cada-20173629.pdf;24 novembre 2017;23 juin 2017;
035;Jean-Pierre Barbier;jean-pierre-barbier;H;6 Avenue Jean jaurès, 38260 La Côte Saint-André; ;demande-irfm-jean-pierre-barbier.pdf;;20173630;avis-cada-20173630.pdf;24 novembre 2017;;
036;Serge Bardy;serge-bardy;H;48 Rue Henri Hamelin, 49000 Angers; ;demande-irfm-serge-bardy.pdf;NONE;20173642;avis-cada-20173642.pdf;24 novembre 2017;25 mai 2017;06 juin 2017
037;Claude Bartolone;claude-bartolone;H;Permanence, 45 Avenue du Général Leclerc, 93500 Pantin; ;demande-irfm-claude-bartolone.pdf;preuve-envoi-claude-bartolone.jpg;20173643;avis-cada-20173643.pdf;24 novembre 2017;28 mai 2017;
038;Christian Bataille;christian-bataille;H;14 Rue Paul Vaillant Couturier, 59620 Aulnoye Aymeries; ;demande-irfm-christian-bataille.pdf;;20173644;avis-cada-20173644.pdf;24 novembre 2017;;
039;Delphine Batho;delphine-batho;F;Permanence parlementaire, 24 Rue Jean Jaurès, 79200 Parthenay; ;demande-irfm-delphine-batho.pdf;NONE;20173645;avis-cada-20173645.pdf;24 novembre 2017;22 juin 2017;14 juillet 2017
040;Marie-Noëlle Battistel;marie-noelle-battistel;F;Permanence, 9 Rue de la Poste, 38170 Seyssinet-Pariset; ;demande-irfm-marie-noelle-battistel.pdf;NONE;20173646;avis-cada-20173646.pdf;24 novembre 2017;01 juin 2017;11 juin 2017
041;Laurent Baumel;laurent-baumel;H;Assemblée nationale, 126 Rue de l'Université, 75355 PARIS 07 SP; ;demande-irfm-laurent-baumel.pdf;NONE;20173647;avis-cada-20173647.pdf;24 novembre 2017;30 mai 2017;16 juin 2017
042;Philippe Baumel;philippe-baumel;H;Permanence parlementaire, 1 Boulevard Henri-Paul Schneider, 71200 Le Creusot; ;demande-irfm-philippe-baumel.pdf;NONE;20173648;avis-cada-20173648.pdf;24 novembre 2017;01 juin 2017;15 juin 2017
043;Denis Baupin;denis-baupin;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP; ;demande-irfm-denis-baupin.pdf;NONE;20173649;avis-cada-20173649.pdf;24 novembre 2017;31 mai 2017;06 juin 2017
044;Nicolas Bays;nicolas-bays;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP; ;demande-irfm-nicolas-bays.pdf;;20173650;avis-cada-20173650.pdf;24 novembre 2017;;
045;Catherine Beaubatie;catherine-beaubatie;F;Permanence parlementaire, 3 Rue Haute de la Comédie, BP 15, 87001 Limoges Cedex; ;demande-irfm-catherine-beaubatie.pdf;preuve-envoi-catherine-beaubatie.pdf;20173651;avis-cada-20173651.pdf;24 novembre 2017;26 mai 2017;06 juin 2017
046;Marie-Françoise Bechtel;marie-francoise-bechtel;F;Permanence parlementaire, 1 Avenue du Général de Gaulle, 02200 Soissons; ;demande-irfm-marie-francoise-bechtel.pdf;;20173686;avis-cada-20173686.pdf;24 novembre 2017;;
047;Jean-Marie Beffara;jean-marie-beffara;H;Permanence parlementaire, 4 Rue des Douves, 37250 Montbazon; ;demande-irfm-jean-marie-beffara.pdf;NONE;20173687;avis-cada-20173687.pdf;24 novembre 2017;08 juin 2017;12 juin 2017
048;Huguette Bello;huguette-bello;F;19 Chaussée Royale, BP 69, 97862 Saint-Paul cedex; ;demande-irfm-huguette-bello.pdf;preuve-envoi-huguette-bello.pdf;20173688;avis-cada-20173688.pdf;24 novembre 2017;16 juin 2017;28 juillet 2017
049;Luc Belot;luc-belot;H;Permanence parlementaire, 15 Rue Voltaire, 49100 Angers; ;demande-irfm-luc-belot.pdf;;20173690;avis-cada-20173690.pdf;24 novembre 2017;;
